job,prereq_1_job,prereq_1_lvl,prereq_2_job,prereq_2_lvl,prereq_3_job,prereq_3_lvl,prereq_4_job,prereq_4_lvl,move,jump,speed,physical_evade,attack,magic,hp,mp,lvl_2_jp,lvl_3_jp,lvl_4_jp,lvl_5_jp,lvl_6_jp,lvl_7_jp,lvl_8_jp
Squire,,,,,,,,,4,3,6,5%,2,1,3,1,200,350,550,800,1150,1550,2100
Chemist,,,,,,,,,3,3,8,5%,2,3,2,3,200,350,550,800,1150,1550,2100
Knight,Squire,2,,,,,,,3,3,8,10%,4,3,4,3,200,350,550,800,1150,1550,2100
Archer,Squire,2,,,,,,,3,3,8,10%,3,2,3,2,200,350,550,800,1150,1550,2100
Priest,Chemist,2,,,,,,,3,3,9,5%,3,4,2,4,200,350,550,800,1150,1550,2100
Wizard,Chemist,2,,,,,,,3,3,8,5%,2,4,2,4,200,350,550,800,1150,1550,2100
Monk,Knight,2,,,,,,,3,4,9,20%,4,3,4,2,200,350,550,800,1150,1550,2100
Thief,Archer,2,,,,,,,4,4,9,25%,3,2,3,2,200,350,550,800,1150,1550,2100
Oracle,Priest,2,,,,,,,3,3,8,5%,2,4,2,4,200,350,550,800,1150,1550,2100
Time Mage,Wizard,2,,,,,,,3,3,8,5%,2,4,2,4,200,350,550,800,1150,1550,2100
Geomancer,Monk,3,,,,,,,4,3,8,10%,4,4,4,4,200,350,550,800,1150,1550,2100
Lancer,Thief,3,,,,,,,3,4,8,15%,4,1,4,2,200,350,550,800,1150,1550,2100
Mediator,Oracle,2,,,,,,,3,3,8,5%,2,3,2,2,200,350,550,800,1150,1550,2100
Summoner,Time Mage,2,,,,,,,3,3,8,5%,2,4,2,4,200,350,550,800,1150,1550,2100
Samuari,Knight,3,Monk,4,Lancer,2,,,3,3,8,20%,4,3,2,4,200,350,550,800,1150,1550,2100
Ninja,Archer,3,Thief,4,Geomancer,2,,,4,4,10,30%,4,3,2,2,200,350,550,800,1150,1550,2100
Calculator,Priest,4,Wizard,4,Time Mage,3,Oracle,3,3,3,3,5%,2,2,2,3,200,350,550,800,1150,1550,2100
Dancer,Geomancer,4,Lancer,4,,,,,3,3,8,5%,2,2,2,1,200,350,550,800,1150,1550,2100
Bard,Summoner,4,Mediator,4,,,,,3,3,8,5%,2,4,2,3,200,350,550,800,1150,1550,2100
